experimentId,variable1,variable2,outcomeMeasure,experimentDate,location,researcherId,controlFlag,anomalyFlag
E0050,12,Type C,73,2024-06-10,Lab 4,R3457,false,false
E0051,96,Type C,93,2024-08-03,Lab 2,R9690,false,false
E0052,73,Type A,175,2024-07-06,Lab 3,R5642,false,false
E0053,14,Type A,152,2024-11-10,Lab 4,R9689,false,false
E0054,31,Type C,102,2024-08-09,Lab 2,R7068,false,false
E0055,21,Type C,20,2025-02-06,Lab 2,R1998,false,false
E0056,86,Type B,78,2024-06-15,Lab 2,R4564,false,false
E0057,54,Type D,176,2024-08-24,Lab 4,R5834,false,false
E0058,48,Type A,106,2024-07-27,Lab 3,R3724,false,false
E0059,9,Type A,150.3,2025-04-16,Lab 4,R2123,true,false
E0060,42,Type A,130,2024-11-11,Lab 4,R6914,false,false
E0061,2,Type D,75.60000000000001,2024-11-01,Lab 1,R1335,true,false
E0062,2,Type C,33,2025-04-02,Lab 4,R1522,false,false
E0063,22,Type B,155,2024-08-20,Lab 2,R5374,false,false
E0064,75,Type D,132,2025-04-16,Lab 4,R7572,false,false
E0065,26,Type D,60,2024-08-25,Lab 4,R7454,false,false
E0066,9,Type D,190,2025-02-19,Lab 3,R6930,false,false
E0067,36,Type D,147,2024-12-08,Lab 1,R5002,false,false
E0068,27,Type A,98,2024-12-06,Lab 2,R8931,false,false
E0069,34,Type C,90,2025-02-23,Lab 4,R4687,false,false
E0070,33,Type A,102,2024-07-03,Lab 4,R3853,false,false
E0071,31,Type A,131,2025-03-10,Lab 1,R5269,false,false
E0072,14,Type B,70,2024-06-10,Lab 3,R7118,false,false
E0073,35,Type C,35,2024-07-08,Lab 2,R2532,false,false
E0074,69,Type A,140,2025-04-08,Lab 1,R5100,false,false
E0075,65,Type C,135,2025-04-12,Lab 1,R3122,false,false
E0076,96,Type B,54,2025-02-12,Lab 1,R6253,false,false
E0077,15,Type A,184,2025-03-12,Lab 4,R8337,false,false
E0078,49,Type D,9,2025-04-05,Lab 2,R6597,false,false
E0079,56,Type A,52.2,2024-12-15,Lab 4,R7693,true,false
E0080,76,Type B,135,2025-03-17,Lab 4,R1261,true,false
E0081,50,Type A,70.2,2024-07-07,Lab 3,R7073,true,false
E0082,66,Type B,156,2024-06-08,Lab 4,R2476,false,false
E0083,51,Type C,187,2024-07-15,Lab 3,R5420,false,false
E0084,95,Type D,128.70000000000002,2025-03-17,Lab 1,R3631,true,false
E0085,37,Type D,183,2025-02-11,Lab 1,R8804,false,false
E0086,77,Type D,17,2024-11-16,Lab 2,R7629,false,false
E0087,53,Type A,10,2024-11-28,Lab 2,R8841,false,false
E0088,35,Type A,62,2025-05-06,Lab 2,R4800,false,false
E0089,56,Type A,140,2024-12-27,Lab 4,R3402,false,false
E0090,74,Type A,112,2025-03-06,Lab 1,R2027,false,false
E0091,47,Type B,23.400000000000002,2024-07-26,Lab 2,R9255,true,false
E0092,49,Type B,168,2024-07-12,Lab 1,R2426,false,false
E0093,45,Type A,4,2024-08-02,Lab 1,R3522,false,false
E0094,80,Type B,105,2024-08-28,Lab 1,R3411,false,false
E0095,62,Type D,69,2024-07-31,Lab 4,R1369,false,false
E0096,47,Type B,183,2024-05-28,Lab 3,R3189,false,false
E0097,100,Type C,182,2024-09-02,Lab 4,R8803,false,false
E0098,19,Type D,140,2025-03-03,Lab 1,R5964,false,false
E0099,91,Type C,74,2025-01-28,Lab 3,R2724,false,false
E0100,59,Type C,78,2024-06-14,Lab 1,R8579,false,false
E0101,82,Type C,97,2024-06-25,Lab 1,R8236,false,false
E0102,1,Type A,15,2024-10-19,Lab 1,R8648,false,false
E0103,81,Type D,51,2024-09-27,Lab 1,R3094,false,false
E0104,82,Type C,199,2024-12-02,Lab 3,R5247,false,false
E0105,45,Type D,187,2024-10-07,Lab 1,R7204,false,false
E0106,76,Type A,34.2,2024-07-21,Lab 1,R1373,true,false
E0107,82,Type B,169,2025-03-01,Lab 2,R6988,false,false
E0108,79,Type A,27,2024-08-09,Lab 4,R7028,false,false
E0109,49,Type B,172,2024-10-22,Lab 1,R5887,false,false
E0110,30,Type A,178,2024-11-10,Lab 2,R2869,false,false
E0111,60,Type D,82,2024-06-29,Lab 2,R7669,false,false
E0112,34,Type B,99,2024-08-03,Lab 2,R6244,false,false
E0113,26,Type B,65.7,2024-08-01,Lab 4,R1459,true,false
E0114,29,Type C,14,2025-03-27,Lab 2,R8256,false,false
E0115,83,Type C,164,2024-06-01,Lab 1,R9123,false,false
E0116,61,Type A,40.5,2025-01-18,Lab 2,R4337,true,false
E0117,61,Type C,191,2024-10-21,Lab 2,R8183,false,false
E0118,5,Type D,160,2024-08-12,Lab 3,R2182,false,false
E0119,48,Type A,87,2024-10-04,Lab 3,R5472,false,false
E0120,4,Type A,199,2024-06-23,Lab 2,R4647,false,false
E0121,9,Type C,51,2025-01-03,Lab 4,R4098,false,false
E0122,58,Type A,224.10000000000002,2025-01-09,Lab 4,R4619,true,true
E0123,3,Type B,21,2024-12-09,Lab 4,R6433,false,false
E0124,84,Type B,125,2024-11-20,Lab 4,R1876,false,false
E0125,35,Type B,73.8,2025-04-29,Lab 1,R7841,true,false
E0126,12,Type D,144.9,2024-08-24,Lab 1,R5233,true,false
E0127,18,Type D,149,2025-01-19,Lab 2,R7714,false,false
E0128,69,Type D,94,2024-12-04,Lab 1,R6911,false,false
E0129,71,Type D,75,2024-12-11,Lab 3,R6570,false,false
E0130,39,Type B,47.7,2024-09-22,Lab 2,R6555,true,false
E0131,86,Type C,109,2024-12-02,Lab 2,R2240,false,false
E0132,78,Type A,115.2,2025-04-08,Lab 1,R8002,true,false
E0133,81,Type C,22,2024-11-07,Lab 1,R3100,false,true
E0134,96,Type C,58,2025-03-09,Lab 2,R7575,false,false
E0135,13,Type B,117,2024-05-27,Lab 4,R8751,false,false
E0136,63,Type B,79,2024-10-10,Lab 4,R6751,false,false
E0137,10,Type D,171,2024-06-05,Lab 4,R6770,false,false
E0138,29,Type D,20,2024-08-09,Lab 3,R9627,false,false
E0139,16,Type A,145.8,2024-08-26,Lab 4,R4457,true,false
E0140,23,Type C,100,2024-08-04,Lab 2,R7085,false,false
E0141,10,Type B,157,2025-03-26,Lab 2,R6069,false,false
E0142,4,Type A,124,2025-04-02,Lab 4,R8528,false,false
E0143,39,Type C,47,2024-07-11,Lab 3,R6892,false,false
E0144,33,Type B,66,2024-07-28,Lab 4,R7969,false,false
E0145,8,Type A,115,2025-03-14,Lab 3,R5893,false,false
E0146,66,Type A,72,2024-08-18,Lab 1,R6469,true,false
E0147,6,Type A,38.7,2024-12-29,Lab 4,R5411,true,false
E0148,46,Type C,149,2024-06-14,Lab 4,R2081,false,false
E0149,15,Type A,95.4,2024-06-30,Lab 1,R8815,true,false
E0150,75,Type B,166,2024-09-02,Lab 3,R1560,false,false
E0151,85,Type B,149,2024-06-12,Lab 2,R4581,false,false
E0152,91,Type A,400,2025-05-16,Lab 2,R3490,false,true
E0153,89,Type D,58,2024-07-22,Lab 3,R6296,false,false
E0154,58,Type C,191,2024-07-08,Lab 4,R4582,false,false
E0155,16,Type D,58,2025-01-27,Lab 3,R7136,false,false
E0156,2,Type A,35,2024-12-12,Lab 1,R5018,false,false
E0157,28,Type D,117,2024-07-06,Lab 1,R5525,false,false
E0158,8,Type B,45,2024-12-15,Lab 1,R5023,false,false
E0159,93,Type D,99,2024-06-05,Lab 1,R9197,false,false
E0160,77,Type D,175,2024-08-12,Lab 2,R7159,false,false
E0161,44,Type D,127,2024-07-18,Lab 1,R4333,false,false
E0162,40,Type C,3,2025-03-31,Lab 2,R1469,false,false
E0163,31,Type B,173,2024-11-16,Lab 4,R8697,false,false
E0164,31,Type D,52,2024-09-13,Lab 3,R3044,false,false
E0165,23,Type D,79,2024-06-04,Lab 1,R1319,false,false
E0166,30,Type C,3,2024-12-25,Lab 4,R6217,false,false
E0167,60,Type D,3,2024-12-17,Lab 3,R7628,false,false
E0168,12,Type A,28.8,2025-01-10,Lab 3,R2472,true,false
E0169,30,Type C,99,2024-08-17,Lab 1,R2801,false,false
E0170,74,Type B,52,2024-10-14,Lab 1,R4699,false,false
E0171,45,Type A,52,2024-06-06,Lab 1,R3294,false,false
E0172,21,Type A,54,2024-07-27,Lab 2,R5925,false,false
E0173,61,Type B,17,2025-04-07,Lab 1,R1779,false,false
E0174,4,Type D,111.60000000000001,2025-03-26,Lab 1,R2500,true,false
E0175,64,Type B,52,2025-01-20,Lab 2,R6633,false,false
E0176,12,Type C,87,2024-10-06,Lab 1,R4213,false,false
E0177,73,Type A,108,2024-06-30,Lab 3,R2324,true,false
E0178,58,Type D,24,2024-07-02,Lab 1,R7859,false,false
E0179,22,Type B,12,2025-04-26,Lab 4,R2920,false,false
E0180,13,Type D,183,2025-04-05,Lab 4,R9051,false,false
E0181,80,Type B,15.3,2024-06-18,Lab 4,R9735,true,false
E0182,58,Type C,90,2024-06-30,Lab 4,R1146,false,false
E0183,43,Type C,192,2024-11-04,Lab 2,R1338,false,false
E0184,98,Type C,17,2024-09-30,Lab 2,R2441,false,false
E0185,91,Type A,303,2025-05-20,Lab 4,R7241,false,true
E0186,4,Type C,93.60000000000001,2024-11-16,Lab 4,R6009,true,false
E0187,30,Type B,87.3,2024-08-03,Lab 4,R4909,true,false
E0188,21,Type A,108,2025-01-13,Lab 2,R4388,false,false
E0189,83,Type D,18,2024-07-20,Lab 4,R2763,true,true
E0190,72,Type A,163,2024-09-16,Lab 3,R4775,false,false
E0191,13,Type D,193,2024-09-23,Lab 1,R2806,false,false
E0192,87,Type B,140,2024-12-19,Lab 4,R1195,false,false
E0193,93,Type D,178,2025-03-21,Lab 1,R2742,false,false
E0194,68,Type C,67,2024-12-01,Lab 2,R6501,false,false
E0195,20,Type C,192,2024-10-18,Lab 1,R8616,false,false
E0196,82,Type C,170,2024-10-17,Lab 1,R4414,false,false
E0197,94,Type B,40,2024-11-21,Lab 2,R2299,false,false
E0198,13,Type A,171,2024-07-23,Lab 3,R7330,false,false
E0199,83,Type D,109,2025-03-12,Lab 4,R4623,false,false
E0200,17,Type B,150.3,2024-12-26,Lab 2,R7441,true,false
E0201,100,Type B,108,2024-08-29,Lab 1,R8459,false,false
E0202,8,Type A,190,2024-12-10,Lab 4,R1118,false,false
E0203,51,Type A,33,2025-01-26,Lab 3,R9403,false,false
E0204,20,Type B,90,2025-05-11,Lab 4,R9755,false,false
E0205,34,Type A,15.3,2025-01-20,Lab 3,R8292,true,false
E0206,81,Type D,132,2025-05-02,Lab 2,R2924,false,false
E0207,49,Type B,109.8,2025-03-15,Lab 3,R6363,true,false
E0208,62,Type C,39,2024-11-02,Lab 3,R9675,false,false
E0209,90,Type A,42,2024-11-15,Lab 2,R6937,false,false
E0210,4,Type A,133.20000000000002,2024-07-15,Lab 4,R5036,true,false
E0211,31,Type D,135,2024-09-14,Lab 3,R5389,false,true
E0212,4,Type A,13,2024-07-06,Lab 3,R6531,false,false
E0213,70,Type B,123,2024-10-11,Lab 2,R3788,false,false
E0214,27,Type D,7,2024-10-02,Lab 4,R5967,false,false
E0215,25,Type D,189,2024-08-10,Lab 2,R8186,false,false
E0216,47,Type D,114,2025-02-01,Lab 1,R2991,false,false
E0217,19,Type C,27.900000000000002,2024-07-31,Lab 3,R7574,true,false
E0218,79,Type B,14,2024-09-01,Lab 2,R1826,false,false
E0219,28,Type C,16,2024-08-17,Lab 3,R8303,false,false
E0220,60,Type D,167,2025-04-15,Lab 1,R3626,false,false
E0221,11,Type D,88,2024-10-04,Lab 4,R9967,false,false
E0222,98,Type A,91,2024-08-17,Lab 3,R8194,false,false
E0223,77,Type B,158,2024-06-06,Lab 4,R6519,false,false
E0224,92,Type C,173,2024-11-24,Lab 1,R3209,false,false
E0225,66,Type C,161,2025-05-06,Lab 3,R1559,false,false
E0226,59,Type A,15,2025-03-19,Lab 4,R1348,false,false
E0227,34,Type B,144,2025-02-28,Lab 2,R7005,false,false
E0228,94,Type C,169,2025-04-27,Lab 3,R5032,false,false
E0229,84,Type A,57,2025-04-19,Lab 4,R1872,false,false
E0230,39,Type C,6.3,2025-01-29,Lab 1,R8078,true,false
E0231,75,Type D,137,2024-09-09,Lab 1,R5439,false,false
E0232,4,Type B,171,2024-12-28,Lab 3,R3116,false,false
E0233,89,Type A,40,2024-06-23,Lab 1,R3896,false,false
E0234,33,Type D,9,2025-04-08,Lab 3,R4539,false,false
E0235,16,Type A,22,2024-06-20,Lab 3,R5232,false,false
E0236,8,Type C,53,2024-06-11,Lab 4,R5692,false,false
E0237,7,Type B,36,2024-09-11,Lab 2,R8021,false,false
E0238,3,Type D,159,2025-01-11,Lab 1,R7659,false,false
E0239,53,Type C,129,2024-08-01,Lab 1,R1247,false,false
E0240,77,Type B,14.4,2024-08-20,Lab 4,R8142,true,false
E0241,25,Type C,166,2024-09-09,Lab 1,R6487,false,false
E0242,81,Type C,21,2024-07-21,Lab 2,R6406,false,false
E0243,4,Type C,33,2024-08-29,Lab 4,R2790,false,false
E0244,75,Type D,60,2024-11-22,Lab 3,R7360,false,false
E0245,94,Type A,177.3,2024-12-29,Lab 3,R7404,true,false
E0246,29,Type C,88,2025-04-12,Lab 2,R6740,false,false
E0247,30,Type B,39,2024-12-25,Lab 3,R6021,false,false
E0248,44,Type B,169,2025-04-01,Lab 1,R5647,false,false
E0249,93,Type B,7,2024-07-25,Lab 4,R1971,false,false
E0250,21,Type D,44.1,2025-02-16,Lab 1,R5001,true,false
E0251,65,Type B,33,2025-02-05,Lab 1,R1408,false,false
E0252,83,Type D,26,2025-02-24,Lab 2,R9212,false,false
E0253,68,Type D,92,2024-10-09,Lab 4,R5897,false,false
E0254,94,Type D,141.3,2024-10-20,Lab 4,R1510,true,false
E0255,82,Type A,148,2025-02-22,Lab 4,R6414,false,false
E0256,27,Type A,145,2024-08-20,Lab 3,R3470,false,false
E0257,17,Type D,130,2024-12-17,Lab 4,R3077,false,false
E0258,3,Type C,136,2024-05-29,Lab 4,R8545,false,false
E0259,13,Type A,136.8,2025-04-20,Lab 1,R1002,true,false
E0260,59,Type C,37,2024-07-16,Lab 3,R7574,false,false
E0261,100,Type C,110,2025-04-01,Lab 3,R1596,false,false
E0262,37,Type C,13,2024-06-13,Lab 1,R8012,false,false
E0263,16,Type B,101,2024-06-16,Lab 1,R1561,false,false
E0264,68,Type A,189,2024-09-16,Lab 3,R5698,false,false
E0265,57,Type D,120,2025-03-02,Lab 3,R3062,false,false
E0266,71,Type B,191,2024-10-04,Lab 1,R9794,false,false
E0267,88,Type D,81,2025-04-05,Lab 4,R4679,false,false
E0268,4,Type D,74,2025-01-06,Lab 3,R5565,false,false
E0269,99,Type C,154,2024-07-16,Lab 3,R1229,false,false
E0270,92,Type A,12,2025-05-03,Lab 4,R2294,false,false
E0271,48,Type A,123,2024-08-06,Lab 3,R7035,false,false
E0272,9,Type C,88,2025-02-18,Lab 3,R3670,false,false
E0273,29,Type A,89,2024-09-03,Lab 1,R6684,false,false
E0274,69,Type C,117,2024-09-25,Lab 3,R5483,false,false
E0275,13,Type A,140,2025-05-03,Lab 2,R2805,false,false
E0276,29,Type A,223.20000000000002,2024-05-26,Lab 4,R5338,true,true
E0277,9,Type D,120,2024-12-21,Lab 1,R4996,false,false
E0278,86,Type B,31,2025-02-07,Lab 3,R7496,false,false
E0279,61,Type C,62,2024-05-26,Lab 4,R3045,false,false
E0280,76,Type D,194,2024-05-25,Lab 4,R6648,false,false
E0281,69,Type D,7.2,2024-12-26,Lab 2,R1386,true,false
E0282,25,Type C,33,2024-08-02,Lab 3,R8557,false,false
E0283,20,Type A,19.8,2024-06-28,Lab 3,R2013,true,false
E0284,6,Type D,61,2024-11-09,Lab 2,R4901,false,false
E0285,37,Type B,153,2025-01-21,Lab 4,R1175,true,false
E0286,30,Type A,146,2024-07-13,Lab 4,R1296,false,false
E0287,66,Type D,160,2025-01-19,Lab 2,R4130,false,false
E0288,45,Type A,114,2024-05-30,Lab 3,R1435,false,true
E0289,6,Type D,74,2025-01-13,Lab 2,R7512,false,false
E0290,88,Type A,86,2024-08-25,Lab 4,R8800,false,false
E0291,99,Type C,128,2024-08-03,Lab 1,R6083,false,false
E0292,12,Type D,555,2024-05-27,Lab 2,R3963,false,true
E0293,7,Type D,59,2024-06-01,Lab 3,R5824,false,false
E0294,43,Type A,166.5,2024-08-24,Lab 4,R5935,true,false
E0295,82,Type B,83.7,2024-07-09,Lab 3,R4241,true,false
E0296,56,Type A,157,2024-10-13,Lab 3,R8493,false,false
E0297,38,Type D,42.300000000000004,2025-02-21,Lab 2,R8873,true,false
E0298,95,Type C,59,2024-07-11,Lab 2,R1245,false,false
E0299,36,Type D,18.900000000000002,2024-12-07,Lab 1,R2649,true,false
E0300,52,Type D,107,2025-02-28,Lab 4,R4469,false,false
E0301,28,Type B,10,2024-09-24,Lab 1,R2174,false,false
E0302,70,Type B,76,2024-06-23,Lab 3,R8507,false,false
E0303,30,Type A,159,2024-07-19,Lab 2,R6774,false,false
E0304,42,Type B,240,2024-06-29,Lab 3,R4221,false,true
E0305,37,Type B,108.9,2024-08-27,Lab 4,R6547,true,false
E0306,50,Type A,42,2025-01-12,Lab 2,R8463,false,false
E0307,30,Type D,107,2024-11-22,Lab 3,R6325,false,false
E0308,97,Type B,198,2025-03-14,Lab 3,R3376,false,false
E0309,79,Type B,85,2024-11-26,Lab 4,R5384,false,false
E0310,30,Type C,1,2024-10-16,Lab 2,R2591,false,false
E0311,70,Type C,62,2024-09-23,Lab 4,R6730,false,false
E0312,51,Type A,74,2025-01-16,Lab 2,R5640,false,false
E0313,99,Type A,79,2024-12-05,Lab 1,R3218,false,false
E0314,2,Type C,157,2024-11-16,Lab 1,R8642,false,false
E0315,68,Type B,57.6,2024-11-16,Lab 1,R1418,true,false
E0316,82,Type C,77,2024-11-19,Lab 4,R3727,false,false
E0317,53,Type A,2,2024-06-10,Lab 1,R5339,false,false
E0318,4,Type B,537,2025-01-17,Lab 2,R1646,false,true
E0319,71,Type C,28,2024-12-14,Lab 3,R4816,false,false
E0320,88,Type B,165,2025-04-18,Lab 1,R8848,false,false
E0321,76,Type C,101,2025-05-15,Lab 3,R1544,false,false
E0322,14,Type B,169.20000000000002,2025-02-19,Lab 2,R8772,true,false
E0323,60,Type A,127,2024-12-03,Lab 1,R7572,false,false
E0324,41,Type D,157,2024-10-19,Lab 3,R9530,false,false
E0325,26,Type B,4,2024-12-14,Lab 1,R4215,false,false
E0326,91,Type C,61,2025-01-11,Lab 1,R1929,false,false
E0327,19,Type C,119.7,2024-05-24,Lab 1,R8234,true,false
E0328,74,Type B,181,2025-03-15,Lab 2,R1187,false,false
E0329,1,Type C,288,2025-05-21,Lab 4,R9518,false,true
E0330,64,Type C,40,2025-03-23,Lab 3,R4803,false,false
E0331,46,Type A,22,2024-07-20,Lab 4,R8304,false,false
E0332,47,Type B,110,2024-10-27,Lab 2,R8148,false,false
E0333,69,Type D,125,2025-03-30,Lab 3,R2292,false,false
E0334,74,Type A,12,2024-10-28,Lab 3,R4237,false,false
E0335,59,Type A,47,2024-06-25,Lab 2,R2282,false,false
E0336,75,Type C,402,2025-01-18,Lab 2,R3255,false,true
E0337,29,Type A,11.700000000000001,2024-12-18,Lab 4,R7509,true,false
E0338,87,Type C,23,2024-11-08,Lab 3,R6093,false,false
E0339,58,Type A,170,2024-08-26,Lab 4,R2091,false,false
E0340,73,Type A,31.5,2025-02-03,Lab 3,R7077,true,false
E0341,83,Type D,22,2025-05-18,Lab 3,R6537,false,false
E0342,31,Type C,36,2024-06-13,Lab 1,R8770,false,false
E0343,17,Type B,144,2024-08-01,Lab 2,R2435,false,false
E0344,61,Type B,167,2024-07-04,Lab 1,R3229,false,false
E0345,19,Type A,180,2024-07-09,Lab 3,R8637,false,false
E0346,31,Type A,185,2024-10-04,Lab 4,R5657,false,false
E0347,91,Type D,54,2024-08-30,Lab 2,R6649,false,false
E0348,67,Type B,44.1,2024-06-16,Lab 2,R8341,true,false
E0349,45,Type B,60,2024-07-29,Lab 1,R6493,false,false
E0350,41,Type C,60,2024-10-17,Lab 1,R6901,false,false
E0351,56,Type B,81,2024-12-25,Lab 2,R8211,true,false
E0352,93,Type C,167.4,2024-07-14,Lab 2,R6546,true,false
E0353,36,Type A,132.3,2024-08-13,Lab 2,R5231,true,false
E0354,63,Type A,57,2024-12-26,Lab 3,R4661,false,false
E0355,91,Type B,19,2025-05-08,Lab 3,R1653,false,false
E0356,18,Type C,74,2025-04-21,Lab 1,R5528,false,false
E0357,13,Type A,108,2024-09-30,Lab 2,R1305,true,false
E0358,60,Type A,123,2025-05-15,Lab 1,R4059,false,false
E0359,68,Type A,13.5,2025-01-21,Lab 2,R1802,true,false
E0360,70,Type A,3,2024-10-29,Lab 4,R4590,false,false
E0361,54,Type B,161,2025-04-01,Lab 3,R6530,false,false
E0362,51,Type D,13.5,2024-09-08,Lab 4,R3756,true,false
E0363,77,Type B,132,2024-12-20,Lab 3,R2926,false,false
E0364,47,Type B,96,2024-10-10,Lab 3,R6762,false,false
E0365,17,Type D,166,2025-02-24,Lab 4,R2834,false,false
E0366,70,Type D,49,2025-01-29,Lab 2,R8504,false,false
E0367,87,Type C,7,2024-09-10,Lab 3,R9106,false,false
E0368,25,Type D,83.7,2025-04-23,Lab 1,R6901,true,false
E0369,5,Type A,26,2024-08-27,Lab 3,R9208,false,false
E0370,45,Type A,108,2025-02-12,Lab 3,R6062,true,false
E0371,1,Type A,119.7,2025-04-30,Lab 2,R9235,true,false
E0372,43,Type A,73,2024-11-15,Lab 2,R2278,false,false
E0373,37,Type C,8,2024-07-17,Lab 1,R5015,false,false
E0374,18,Type A,79,2024-10-19,Lab 3,R5246,false,false
E0375,51,Type A,127.8,2024-09-05,Lab 1,R8214,true,false
E0376,75,Type C,114,2024-07-28,Lab 3,R9864,false,false
E0377,20,Type B,66.60000000000001,2025-03-16,Lab 2,R6762,true,false
E0378,64,Type A,152.1,2024-08-29,Lab 3,R7343,true,false
E0379,33,Type A,58,2024-09-17,Lab 2,R7731,false,false
E0380,68,Type B,56,2025-02-17,Lab 1,R1833,false,false
E0381,14,Type B,196,2025-03-12,Lab 4,R5405,false,false
E0382,2,Type C,45,2025-04-09,Lab 3,R6493,false,false
E0383,41,Type A,113,2025-03-26,Lab 2,R5262,false,false
E0384,38,Type D,10,2025-01-05,Lab 1,R8761,false,false
E0385,85,Type B,11,2025-03-13,Lab 4,R1640,false,false
E0386,98,Type C,90,2025-04-21,Lab 3,R7336,false,false
E0387,25,Type A,92,2025-04-20,Lab 2,R1962,false,false
E0388,34,Type D,179,2025-01-22,Lab 1,R3376,false,false
E0389,14,Type C,61,2025-03-30,Lab 2,R1678,false,false
E0390,34,Type A,26,2025-03-07,Lab 4,R9016,false,false
E0391,97,Type D,148,2024-12-07,Lab 4,R9237,false,false
E0392,4,Type D,108.9,2025-03-06,Lab 2,R9276,true,false
E0393,36,Type C,62.1,2024-06-17,Lab 2,R8975,true,false
E0394,100,Type B,125,2024-11-01,Lab 1,R7153,false,false
E0395,85,Type C,170,2024-07-09,Lab 3,R7338,false,false
E0396,12,Type A,330,2024-10-16,Lab 2,R2248,false,true
E0397,25,Type A,38,2025-04-16,Lab 3,R2992,false,false
E0398,33,Type A,191,2024-12-29,Lab 2,R8991,false,false
E0399,68,Type A,42,2024-08-02,Lab 2,R2902,false,false
E0400,29,Type B,48,2025-03-03,Lab 1,R9832,false,false
E0401,79,Type D,82.8,2025-02-06,Lab 3,R7534,true,false
E0402,38,Type C,100.8,2025-02-01,Lab 4,R2017,true,false
E0403,72,Type C,57,2025-03-02,Lab 2,R6654,false,false
E0404,64,Type B,156.6,2024-09-12,Lab 1,R4630,true,false
E0405,81,Type D,6,2024-10-30,Lab 1,R8945,false,false
E0406,77,Type D,63,2025-01-07,Lab 3,R5458,false,true
E0407,79,Type C,56,2024-11-12,Lab 2,R4741,false,false
E0408,14,Type A,163,2024-08-14,Lab 2,R5817,false,false
E0409,75,Type A,140.4,2025-05-04,Lab 2,R9471,true,false
E0410,94,Type A,98,2025-01-02,Lab 4,R2968,false,false
E0411,39,Type A,174,2025-01-10,Lab 2,R3540,false,false
E0412,46,Type A,116,2025-03-22,Lab 3,R3876,false,false
E0413,14,Type D,79,2024-07-07,Lab 4,R7911,false,false
E0414,44,Type D,94,2024-09-05,Lab 3,R1893,false,false
E0415,54,Type D,573,2024-11-11,Lab 1,R6470,false,true
