customerId,age,gender,incomeLevel,productCategory,purchaseAmount,purchaseDate,geographicRegion,customerLoyaltyScore,marketingChannel
C42,19,Female,74634,Laptop,1941,2025-01-06,South America,6,Online Ads
C43,53,Female,144609,Laptop,827,2025-04-27,South America,6,TV
C44,18,Female,44866,Laptop,1538,2024-08-17,South America,3,Social Media
C45,45,Female,92984,Accessories,61,2025-01-23,North America,3,Social Media
C46,37,Male,50944,Tablet,443,2024-07-17,Asia,3,Social Media
C47,41,Male,50196,Accessories,45,2025-02-20,Europe,10,TV
C48,57,Male,86336,Smartphone,702,2024-09-13,Europe,10,Online Ads
C49,36,Male,38857,Tablet,259,2024-09-04,Europe,10,TV
C50,51,Female,101437,Smartphone,823,2024-08-24,South America,4,Social Media
C51,61,Female,137260,Smartphone,1062,2025-05-11,Asia,8,Online Ads
C52,18,Female,100525,Accessories,13,2025-04-13,South America,10,In-Store Promotion
C53,48,Male,144040,Accessories,33,2024-12-25,Europe,4,In-Store Promotion
C54,51,Female,139297,Laptop,1199,2024-11-28,Asia,7,Online Ads
C55,57,Female,133902,Accessories,49,2024-05-29,South America,4,Social Media
C56,28,Female,54648,Laptop,1457,2025-05-06,South America,4,TV
C57,31,Male,149802,Tablet,474,2024-11-29,North America,1,TV
C58,64,Female,148951,Tablet,277,2024-12-27,Europe,3,Social Media
C59,31,Female,28168,Laptop,1297,2025-02-18,South America,10,Social Media
C60,36,Male,23782,Tablet,581,2024-12-09,Asia,9,Online Ads
C61,43,Male,114346,Smartphone,651,2025-03-27,North America,4,TV
C62,34,Male,63779,Accessories,42,2024-06-09,South America,5,Social Media
C63,37,Male,26160,Tablet,921,2024-11-29,Europe,9,TV
C64,21,Female,93786,Tablet,404,2024-07-28,North America,6,Social Media
C65,28,Female,109413,Accessories,70,2025-02-27,South America,4,Social Media
C66,45,Male,74666,Laptop,1527,2025-01-12,Asia,10,Online Ads
C67,40,Male,111671,Laptop,1340,2025-03-24,North America,5,In-Store Promotion
C68,42,Female,45131,Tablet,248,2024-10-09,South America,3,TV
C69,39,Female,127692,Accessories,79,2025-05-20,Asia,8,Online Ads
C70,18,Female,62389,Smartphone,542,2025-03-23,North America,8,Online Ads
C71,31,Female,59700,Laptop,1174,2025-04-04,North America,10,TV
C72,23,Male,146474,Laptop,1629,2025-01-21,North America,3,Social Media
C73,45,Male,131184,Tablet,345,2025-01-01,Asia,8,In-Store Promotion
C74,36,Female,122209,Laptop,816,2025-04-02,Asia,5,Online Ads
C75,27,Male,78066,Smartphone,648,2025-02-03,Europe,8,TV
C76,50,Female,53029,Laptop,1758,2025-04-04,North America,8,In-Store Promotion
C77,27,Female,50887,Tablet,467,2024-07-10,Asia,5,Social Media
C78,42,Female,148986,Smartphone,789,2024-11-10,South America,10,Social Media
C79,19,Male,85451,Smartphone,696,2024-08-16,Europe,4,TV
C80,63,Female,139577,Smartphone,560,2024-10-29,South America,4,TV
C81,48,Male,136214,Tablet,389,2025-01-16,Europe,3,Social Media
C82,20,Male,62108,Laptop,1726,2024-05-31,Europe,2,Online Ads
C83,52,Male,141806,Accessories,100,2025-05-07,Asia,2,Online Ads
C84,43,Female,83773,Smartphone,531,2024-11-21,South America,8,Social Media
C85,52,Male,57819,Accessories,38,2024-07-20,Europe,2,TV
C86,56,Female,32380,Laptop,1507,2024-11-28,North America,9,In-Store Promotion
C87,43,Male,92215,Smartphone,527,2024-08-28,North America,7,In-Store Promotion
C88,23,Female,128730,Tablet,351,2025-04-17,Europe,5,Online Ads
C89,61,Male,100735,Tablet,417,2024-11-14,South America,6,In-Store Promotion
C90,54,Female,46584,Laptop,970,2024-07-31,Asia,9,Social Media
C91,23,Male,83766,Laptop,930,2024-10-05,South America,6,Social Media
C92,59,Male,58686,Accessories,44,2024-10-08,Asia,10,In-Store Promotion
C93,55,Male,124215,Accessories,58,2024-11-30,Asia,5,Social Media
C94,38,Female,87703,Smartphone,1030,2025-02-23,South America,3,Social Media
C95,59,Male,71020,Smartphone,567,2024-09-30,Europe,1,In-Store Promotion
C96,33,Male,134554,Smartphone,692,2025-01-27,Europe,1,Social Media
C97,65,Female,56510,Laptop,1500,2024-11-20,South America,10,Online Ads
C98,21,Male,114789,Tablet,515,2024-10-31,South America,3,Social Media
C99,63,Female,70972,Laptop,1848,2025-01-29,North America,6,TV
C100,57,Male,78245,Laptop,1174,2025-02-25,Asia,1,TV
C101,58,Male,87259,Tablet,210,2024-07-25,South America,2,Online Ads
C102,21,Male,131413,Smartphone,1008,2024-12-14,North America,8,Online Ads
C103,33,Female,38397,Laptop,1118,2024-11-16,Asia,7,Online Ads
C104,49,Female,130588,Tablet,275,2025-01-09,South America,7,Social Media
C105,44,Male,89611,Accessories,82,2025-02-19,Asia,5,Online Ads
C106,21,Male,133752,Smartphone,793,2024-10-20,Europe,1,Online Ads
C107,22,Female,99357,Accessories,32,2024-09-06,Europe,10,In-Store Promotion
C108,43,Male,118616,Accessories,52,2024-06-30,Asia,3,Online Ads
C109,39,Male,43721,Laptop,1879,2024-07-06,South America,8,In-Store Promotion
C110,63,Male,53711,Accessories,30,2025-02-05,North America,2,Online Ads
C111,29,Female,132001,Tablet,419,2025-02-17,Europe,5,TV
C112,47,Male,29583,Tablet,200,2024-09-21,South America,8,Online Ads
C113,40,Male,126004,Tablet,321,2025-05-22,Europe,3,Online Ads
C114,43,Male,109886,Smartphone,557,2024-06-02,Asia,8,In-Store Promotion
C115,31,Male,43586,Accessories,40,2024-06-27,North America,4,In-Store Promotion
C116,32,Male,46371,Smartphone,509,2024-09-10,South America,10,Online Ads
C117,49,Female,140746,Smartphone,503,2024-07-27,South America,9,Online Ads
C118,38,Female,147122,Laptop,1764,2025-02-25,Asia,9,TV
C119,65,Male,109518,Tablet,558,2024-12-09,Europe,5,Online Ads
C120,56,Male,106153,Tablet,311,2024-06-13,Asia,4,Online Ads
C121,23,Female,136392,Accessories,20,2025-01-04,Asia,7,Social Media
C122,20,Female,109562,Laptop,1067,2024-11-26,Europe,9,In-Store Promotion
C123,44,Male,74291,Laptop,1253,2025-04-12,Asia,8,In-Store Promotion
C124,32,Female,114061,Laptop,1605,2025-04-15,South America,4,In-Store Promotion
C125,39,Female,83847,Smartphone,500,2024-07-12,Europe,3,Online Ads
C126,29,Female,39405,Accessories,50,2024-07-21,North America,6,Social Media
C127,48,Male,124891,Laptop,1426,2024-11-21,Asia,3,In-Store Promotion
C128,58,Male,148965,Laptop,1354,2024-11-23,South America,4,Online Ads
C129,49,Female,139383,Smartphone,785,2024-07-05,Asia,7,Online Ads
C130,29,Male,53486,Laptop,1263,2025-03-17,North America,7,Online Ads
C131,35,Female,61525,Laptop,1203,2024-06-07,Europe,7,TV
C132,35,Male,89686,Smartphone,789,2024-06-24,Asia,4,Online Ads
C133,38,Male,135495,Tablet,345,2025-05-06,Asia,2,Social Media
C134,62,Female,85204,Accessories,45,2024-12-26,South America,10,Social Media
C135,43,Female,63958,Laptop,1202,2025-05-02,Asia,1,TV
C136,28,Female,33755,Smartphone,715,2024-07-01,South America,9,Online Ads
C137,24,Female,70599,Laptop,1749,2024-10-04,Asia,3,TV
C138,43,Male,104875,Laptop,1009,2024-06-23,Asia,10,In-Store Promotion
C139,56,Male,107253,Laptop,804,2024-12-30,South America,8,Social Media
C140,45,Male,73842,Smartphone,660,2024-08-11,South America,4,TV
C141,54,Male,63270,Laptop,1344,2025-05-13,Europe,1,Social Media
C142,49,Female,21694,Smartphone,1044,2025-04-08,North America,1,Online Ads
C143,39,Female,110174,Tablet,260,2024-08-11,Asia,1,Social Media
C144,59,Female,82485,Accessories,23,2024-11-20,South America,8,TV
C145,47,Male,55200,Smartphone,892,2024-06-25,South America,8,Online Ads
C146,45,Male,92216,Laptop,1813,2024-11-16,Asia,9,Online Ads
C147,24,Female,98360,Smartphone,797,2024-12-23,Europe,5,Online Ads
C148,36,Male,92993,Smartphone,578,2025-02-15,South America,6,Online Ads
C149,49,Female,148115,Tablet,212,2024-08-06,Asia,6,Online Ads
C150,32,Female,91745,Accessories,12,2024-06-08,Europe,7,Online Ads
C151,58,Male,130874,Laptop,1866,2024-11-03,Europe,10,In-Store Promotion
C152,50,Male,83730,Smartphone,813,2024-08-05,North America,10,TV
C153,43,Male,116796,Laptop,1406,2024-08-15,North America,7,In-Store Promotion
C154,49,Male,118185,Laptop,1852,2024-06-18,Europe,5,Social Media
C155,24,Male,44083,Laptop,1049,2024-11-14,South America,1,Social Media
C156,43,Male,127996,Tablet,586,2024-09-06,Europe,5,Social Media
C157,18,Male,44735,Smartphone,1785,2025-01-29,South America,8,In-Store Promotion
C158,51,Female,37183,Accessories,44,2024-07-18,Europe,10,Online Ads
C159,30,Female,75164,Accessories,28,2024-08-12,North America,5,Online Ads
C160,27,Female,65710,Laptop,847,2025-02-28,South America,1,Social Media
C161,34,Female,113539,Smartphone,667,2024-06-23,North America,4,Social Media
C162,40,Female,45131,Smartphone,591,2024-09-20,Asia,2,TV
C163,61,Male,84330,Tablet,543,2025-04-03,Europe,9,Online Ads
C164,28,Female,62346,Smartphone,815,2024-09-09,North America,10,TV
C165,58,Female,68599,Laptop,918,2024-07-26,South America,2,TV
C166,38,Female,103153,Tablet,208,2025-02-11,North America,3,TV
C167,23,Male,24003,Smartphone,809,2025-03-14,Asia,1,Online Ads
C168,20,Male,128070,Smartphone,555,2024-11-09,Europe,7,In-Store Promotion
C169,32,Male,100777,Smartphone,1101,2025-01-11,South America,9,TV
C170,21,Female,145386,Tablet,409,2025-01-28,South America,10,Online Ads
C171,57,Female,117028,Smartphone,960,2024-08-25,South America,5,Online Ads
C172,54,Male,59543,Accessories,79,2024-07-24,North America,5,Online Ads
C173,64,Male,149327,Laptop,1345,2025-01-04,South America,9,Social Media
C174,43,Male,47409,Laptop,1026,2024-08-04,North America,1,In-Store Promotion
C175,31,Female,65560,Smartphone,555,2024-06-07,Europe,1,TV
C176,36,Female,116010,Accessories,65,2025-01-19,Europe,8,In-Store Promotion
C177,18,Female,110593,Smartphone,607,2024-10-22,South America,2,TV
C178,58,Male,113874,Laptop,1665,2025-02-27,South America,4,In-Store Promotion
C179,53,Male,125282,Accessories,51,2024-11-19,South America,10,Online Ads
C180,25,Female,131567,Accessories,63,2025-04-08,North America,8,Online Ads
C181,63,Male,129612,Smartphone,550,2024-11-12,North America,6,Online Ads
C182,38,Female,132908,Smartphone,1132,2024-06-27,South America,9,Social Media
C183,27,Male,20593,Tablet,222,2024-11-11,South America,3,In-Store Promotion
C184,48,Female,80617,Tablet,347,2024-12-18,North America,7,Online Ads
C185,40,Male,46898,Smartphone,694,2024-07-06,Asia,10,Online Ads
C186,61,Male,94310,Accessories,13,2024-07-14,Asia,1,TV
C187,26,Male,38393,Tablet,213,2024-08-30,North America,3,Online Ads
C188,59,Female,120558,Accessories,71,2024-10-11,Europe,9,In-Store Promotion
C189,48,Male,149343,Accessories,54,2024-08-09,North America,1,In-Store Promotion
C190,39,Male,94909,Smartphone,755,2025-01-01,Asia,7,In-Store Promotion
C191,65,Male,110290,Tablet,340,2024-07-08,Europe,9,TV
C192,35,Male,69989,Laptop,1981,2024-06-18,South America,9,Social Media
C193,24,Male,65333,Laptop,1627,2024-10-14,Asia,1,Online Ads
C194,40,Male,52386,Accessories,85,2024-08-07,Asia,1,TV
C195,65,Male,56470,Tablet,325,2024-11-09,Asia,8,Social Media
C196,35,Male,37520,Tablet,219,2024-09-08,South America,9,Social Media
C197,28,Female,82532,Accessories,68,2024-06-19,North America,7,Social Media
C198,65,Female,88503,Accessories,33,2025-04-24,Europe,6,Online Ads
C199,61,Male,61901,Laptop,1785,2025-03-12,Europe,9,In-Store Promotion
C200,39,Male,119800,Laptop,1437,2025-05-06,Europe,6,Online Ads
C201,38,Male,112992,Accessories,46,2024-12-13,South America,8,Social Media
C202,41,Male,142136,Tablet,422,2024-11-02,South America,5,Social Media
C203,47,Female,59320,Smartphone,635,2024-11-09,Asia,10,Online Ads
C204,30,Male,50486,Accessories,49,2024-11-08,South America,2,TV
C205,22,Male,23103,Tablet,416,2025-01-20,Asia,5,Social Media
C206,64,Male,117991,Smartphone,609,2025-05-11,Asia,3,In-Store Promotion
C207,43,Female,85952,Laptop,806,2024-06-30,Asia,4,Online Ads
C208,49,Male,46844,Accessories,12,2024-07-14,Europe,3,TV
C209,43,Male,94272,Accessories,18,2024-07-31,South America,9,Online Ads
C210,57,Female,72453,Tablet,437,2025-02-02,North America,9,TV
C211,36,Female,46891,Tablet,372,2025-02-01,North America,2,Online Ads
C212,56,Male,121687,Laptop,1459,2025-04-27,Asia,4,In-Store Promotion
C213,20,Female,52132,Accessories,71,2024-06-24,Europe,3,Online Ads
C214,42,Male,41087,Smartphone,1175,2024-10-01,Asia,1,Social Media
C215,63,Female,79549,Laptop,1798,2024-12-04,Europe,7,Social Media
C216,64,Male,23898,Smartphone,839,2025-01-29,North America,2,Social Media
C217,63,Male,31266,Laptop,978,2024-09-06,South America,4,TV
C218,28,Female,74066,Tablet,237,2024-09-09,North America,9,TV
C219,45,Female,48026,Tablet,506,2025-05-05,South America,6,In-Store Promotion
C220,63,Female,85075,Tablet,459,2024-07-30,Europe,10,TV
C221,59,Female,116316,Smartphone,997,2024-06-02,North America,6,Social Media
C222,48,Male,74458,Accessories,78,2024-10-06,Europe,7,Online Ads
C223,47,Female,78289,Tablet,319,2025-02-20,Asia,8,TV
C224,36,Male,49735,Smartphone,1185,2024-09-18,South America,9,Online Ads
C225,55,Male,125557,Smartphone,718,2024-11-20,Europe,6,Online Ads
C226,24,Male,97650,Smartphone,809,2024-08-01,North America,5,In-Store Promotion
C227,57,Female,144786,Smartphone,589,2024-07-20,South America,5,Online Ads
C228,61,Female,69290,Tablet,334,2025-04-21,South America,7,Social Media
C229,52,Female,54461,Laptop,1717,2024-06-16,Asia,2,TV
C230,33,Male,26560,Accessories,100,2024-06-22,North America,2,Social Media
C231,41,Male,69868,Laptop,926,2025-01-08,South America,3,Social Media
C232,61,Male,92536,Accessories,79,2024-10-24,Asia,6,Online Ads
C233,48,Female,34768,Laptop,1740,2025-02-14,Europe,5,TV
C234,26,Male,83381,Smartphone,517,2024-10-09,South America,2,In-Store Promotion
C235,62,Male,67239,Accessories,57,2025-05-04,Europe,10,Social Media
C236,55,Male,115034,Tablet,248,2024-10-08,North America,5,Online Ads
C237,36,Female,81165,Tablet,550,2024-12-17,Asia,8,Social Media
C238,42,Female,55108,Accessories,60,2024-07-20,North America,9,Social Media
C239,48,Female,50477,Smartphone,682,2025-03-29,North America,5,Social Media
C240,53,Female,141206,Tablet,502,2024-07-18,Europe,2,Online Ads
C241,29,Female,66159,Tablet,245,2025-05-10,Europe,8,Online Ads
C242,29,Male,80606,Tablet,333,2024-10-16,Europe,10,Online Ads
C243,27,Male,55796,Tablet,303,2024-09-29,North America,10,TV
C244,34,Female,68039,Smartphone,1096,2024-10-22,South America,8,Social Media
C245,65,Male,118909,Laptop,1697,2024-11-05,South America,2,Online Ads
C246,39,Female,110895,Laptop,1551,2024-11-16,Asia,9,In-Store Promotion
C247,34,Female,93992,Laptop,1668,2024-06-11,North America,1,TV
C248,19,Female,43859,Laptop,1808,2024-09-17,Europe,1,Online Ads
C249,39,Female,129129,Smartphone,920,2024-09-12,South America,10,Social Media
C250,32,Male,112380,Tablet,595,2025-03-25,Asia,3,Social Media
C251,50,Male,57460,Laptop,3940,2024-11-06,South America,7,TV
C252,54,Male,134932,Laptop,1395,2024-12-10,North America,6,Online Ads
C253,49,Female,89579,Laptop,1995,2024-10-17,Europe,6,Online Ads
C254,46,Male,33767,Accessories,81,2025-05-07,Europe,2,TV
C255,39,Male,149456,Laptop,816,2024-10-13,Asia,7,Online Ads
C256,36,Male,143479,Laptop,1055,2025-01-09,North America,7,Social Media
C257,56,Male,34545,Tablet,492,2024-09-27,Europe,1,TV
C258,29,Female,51574,Smartphone,659,2024-07-11,North America,6,Online Ads
C259,52,Male,50737,Tablet,510,2025-04-29,South America,4,Online Ads
C260,32,Male,30687,Laptop,1852,2024-08-19,South America,9,Social Media
C261,65,Male,147428,Accessories,41,2024-12-20,South America,9,Online Ads
C262,37,Male,57451,Accessories,95,2024-08-16,South America,2,Online Ads
C263,60,Female,38803,Tablet,389,2025-01-06,North America,9,Online Ads
C264,20,Male,70639,Laptop,1250,2025-03-21,Europe,8,Online Ads
C265,36,Male,48104,Tablet,394,2024-06-04,Asia,2,Social Media
C266,34,Male,52658,Smartphone,719,2025-04-09,Europe,3,Online Ads
C267,21,Female,21243,Tablet,521,2024-11-23,North America,6,In-Store Promotion
C268,23,Female,88510,Smartphone,579,2024-08-27,South America,10,TV
C269,34,Female,130400,Smartphone,1030,2024-07-21,Europe,1,TV
C270,31,Female,46747,Accessories,88,2024-07-30,South America,3,In-Store Promotion
C271,57,Female,103717,Accessories,51,2025-01-06,Europe,5,Social Media
C272,33,Female,35591,Laptop,1283,2024-11-11,North America,9,TV
C273,42,Female,54290,Smartphone,907,2025-03-25,Asia,1,Social Media
C274,29,Female,46982,Tablet,336,2024-11-09,Asia,2,TV
C275,51,Female,113084,Accessories,31,2025-01-16,South America,5,Social Media
C276,51,Male,115194,Accessories,64,2024-06-25,Asia,7,TV
C277,21,Female,98475,Tablet,519,2024-11-05,Asia,8,Online Ads
C278,46,Female,143010,Accessories,13,2025-04-22,Asia,3,Online Ads
C279,41,Female,90364,Tablet,479,2024-11-04,Europe,5,Online Ads
C280,30,Female,79468,Tablet,419,2024-11-12,South America,10,In-Store Promotion
C281,36,Male,111185,Smartphone,1052,2024-11-02,Asia,4,TV
C282,34,Male,124181,Accessories,23,2025-03-17,South America,10,Online Ads
C283,22,Male,88481,Tablet,390,2025-02-21,Asia,1,TV
C284,41,Female,61207,Accessories,68,2025-04-10,Asia,7,Social Media
C285,47,Male,77992,Smartphone,754,2024-09-01,North America,8,Social Media
C286,35,Female,141819,Tablet,495,2025-03-16,Asia,5,Online Ads
C287,44,Male,74883,Accessories,55,2025-03-10,Asia,4,In-Store Promotion
C288,52,Male,78867,Smartphone,1068,2024-11-27,Asia,8,Social Media
C289,47,Male,50567,Accessories,92,2025-05-20,Asia,3,Social Media
C290,50,Male,113307,Tablet,407,2025-02-05,Asia,6,In-Store Promotion
C291,64,Female,71054,Tablet,325,2024-12-09,Europe,4,TV
C292,55,Male,64095,Accessories,79,2024-09-30,South America,4,Social Media
C293,39,Female,47177,Laptop,930,2024-09-27,South America,4,Social Media
C294,27,Male,120209,Tablet,259,2024-11-10,Asia,1,Online Ads
C295,25,Male,50790,Smartphone,776,2025-05-17,North America,3,Online Ads
C296,60,Male,30998,Smartphone,582,2024-09-23,South America,8,In-Store Promotion
C297,58,Male,78187,Tablet,487,2024-11-02,North America,5,In-Store Promotion
C298,62,Male,110912,Tablet,201,2024-07-20,North America,4,TV
C299,18,Male,115723,Tablet,264,2024-12-21,North America,5,Online Ads
C300,37,Male,76636,Accessories,97,2024-05-26,North America,8,Online Ads
C301,51,Female,81555,Smartphone,712,2025-02-20,South America,2,In-Store Promotion
C302,40,Male,56805,Laptop,1337,2025-03-30,Asia,10,Online Ads
C303,18,Female,82810,Smartphone,513,2025-01-14,Asia,4,In-Store Promotion
C304,26,Female,37325,Accessories,37,2025-03-19,North America,2,In-Store Promotion
C305,25,Male,80967,Laptop,1970,2025-02-18,Europe,3,Social Media
C306,48,Female,90059,Tablet,349,2024-08-15,Asia,2,Social Media
C307,54,Male,118626,Smartphone,781,2024-08-28,Europe,6,TV
C308,35,Female,62704,Tablet,207,2025-01-07,North America,8,Social Media
C309,57,Female,129826,Laptop,1592,2024-12-10,South America,8,Social Media
C310,63,Female,67678,Tablet,581,2024-12-21,Asia,5,Social Media
C311,43,Male,148259,Laptop,1939,2024-10-03,North America,7,In-Store Promotion
C312,59,Female,80855,Tablet,342,2024-09-30,South America,4,In-Store Promotion
C313,41,Female,45625,Smartphone,819,2024-06-29,South America,10,Social Media
C314,64,Male,85446,Smartphone,596,2025-01-15,Europe,5,TV
C315,42,Female,101500,Smartphone,968,2025-05-10,Europe,6,Online Ads
C316,48,Female,53977,Accessories,36,2024-09-15,Europe,2,Online Ads
C317,36,Male,46825,Smartphone,1005,2024-06-16,Europe,2,Social Media
C318,40,Male,127706,Smartphone,795,2025-01-04,Europe,5,In-Store Promotion
C319,21,Female,122859,Smartphone,964,2025-04-20,South America,9,TV
C320,59,Male,133777,Accessories,50,2024-10-25,North America,3,In-Store Promotion
C321,41,Male,108230,Laptop,1237,2024-10-03,Europe,4,TV
C322,52,Male,126745,Smartphone,1116,2025-03-22,South America,9,Online Ads
C323,44,Female,137307,Smartphone,580,2025-02-26,South America,3,Online Ads
C324,50,Female,71422,Accessories,85,2024-11-20,North America,4,Online Ads
C325,37,Male,49451,Smartphone,1167,2025-05-09,South America,10,In-Store Promotion
C326,46,Female,138338,Accessories,30,2024-10-02,Europe,10,Online Ads
C327,61,Female,23830,Smartphone,1101,2025-02-27,Europe,1,Social Media
C328,31,Female,59515,Accessories,73,2024-09-03,South America,6,Social Media
C329,61,Female,129561,Accessories,42,2024-07-20,Europe,7,Online Ads
C330,55,Male,31682,Smartphone,570,2024-07-03,South America,1,In-Store Promotion
C331,46,Female,108015,Smartphone,799,2024-11-06,Asia,6,Social Media
C332,18,Female,34665,Laptop,1994,2025-04-12,Europe,1,Online Ads
C333,38,Male,96895,Laptop,1015,2024-09-23,Europe,3,TV
C334,28,Female,140573,Tablet,401,2024-07-27,Europe,8,Online Ads
C335,51,Male,88338,Tablet,313,2024-11-09,Asia,2,Online Ads
C336,64,Male,126990,Tablet,405,2025-05-09,Europe,9,Online Ads
C337,65,Male,93463,Accessories,12,2024-08-29,South America,9,Social Media
C338,63,Male,39884,Tablet,402,2025-01-24,North America,4,TV
C339,34,Female,67062,Laptop,1179,2024-06-13,Europe,1,Social Media
C340,38,Male,100417,Accessories,74,2024-08-20,North America,2,In-Store Promotion
C341,21,Female,45077,Laptop,1605,2025-04-09,Europe,5,Social Media
C342,31,Male,45860,Laptop,872,2025-02-12,Europe,2,Social Media
C343,41,Female,58897,Accessories,77,2024-09-04,North America,5,TV
C344,21,Female,104452,Tablet,283,2025-05-15,North America,7,Social Media
C345,42,Male,147650,Tablet,496,2024-12-07,Asia,9,Online Ads
C346,32,Female,149088,Accessories,18,2024-10-27,North America,5,In-Store Promotion
C347,28,Female,25965,Laptop,1215,2024-12-02,Asia,1,Social Media
C348,41,Female,39204,Laptop,1597,2024-09-28,Asia,1,TV
C349,46,Male,89790,Tablet,236,2025-03-03,Europe,2,TV
C350,41,Female,147015,Smartphone,736,2024-07-20,South America,7,In-Store Promotion
C351,61,Female,137239,Accessories,80,2025-03-27,South America,3,TV
C352,41,Female,111015,Smartphone,777,2025-02-16,South America,1,In-Store Promotion
C353,23,Male,120149,Smartphone,742,2024-06-12,Europe,3,Social Media
C354,28,Male,127495,Laptop,1351,2024-09-17,Europe,2,In-Store Promotion
C355,34,Female,71144,Smartphone,839,2024-06-23,North America,6,In-Store Promotion
C356,33,Female,139866,Tablet,297,2024-10-08,South America,3,Online Ads
C357,34,Female,69221,Tablet,320,2025-05-03,Asia,1,Online Ads
C358,55,Female,43297,Accessories,98,2025-04-08,South America,7,In-Store Promotion
C359,57,Female,72479,Laptop,832,2024-06-10,Asia,5,Online Ads
C360,26,Female,57554,Smartphone,876,2025-02-13,Europe,1,In-Store Promotion
C361,64,Male,134247,Laptop,1684,2024-12-27,Asia,8,Online Ads
C362,28,Female,84295,Laptop,1632,2025-02-03,Asia,2,In-Store Promotion
C363,20,Male,98587,Laptop,981,2025-02-05,North America,1,TV
C364,53,Male,75559,Tablet,467,2025-04-02,North America,1,TV
C365,45,Female,115111,Accessories,64,2024-11-19,South America,5,In-Store Promotion
C366,26,Male,53658,Laptop,1988,2025-04-07,Asia,6,Social Media
C367,38,Female,33053,Accessories,76,2024-06-10,Asia,5,Online Ads
C368,38,Male,24706,Accessories,46,2024-11-04,Europe,2,Online Ads
C369,35,Male,26688,Laptop,922,2024-05-31,Europe,7,TV
C370,63,Female,55847,Accessories,12,2024-07-19,Europe,1,TV
C371,38,Female,135887,Accessories,29,2025-03-25,Europe,7,Online Ads
C372,56,Female,111786,Accessories,75,2024-08-12,North America,1,Online Ads
C373,33,Female,84580,Laptop,800,2024-09-11,South America,9,Social Media
C374,62,Female,72499,Accessories,58,2024-11-19,North America,4,Online Ads
C375,42,Male,129457,Accessories,44,2024-11-29,Asia,3,Online Ads
C376,40,Female,65359,Laptop,1547,2024-11-26,South America,7,TV
C377,61,Female,145788,Tablet,345,2024-12-02,South America,6,In-Store Promotion
C378,33,Male,83579,Accessories,79,2024-09-19,Asia,5,In-Store Promotion
