transactionId,dateOfTransaction,accountId,transactionAmount,transactionType,location,accountBalanceAfter,customerSegment,fraudFlag
T0054,2024-06-21,A4761,4690,Deposit,London,92457,Corporate,false
T0055,2024-09-19,A8704,3185,Withdrawal,Sydney,9885,Retail,false
T0056,2024-06-28,A7196,2687,Transfer,New York,-220,SME,false
T0057,2025-01-01,A8174,1928,Deposit,Sydney,46822,Retail,false
T0058,2025-02-24,A4577,3145,Withdrawal,Sydney,64829,SME,false
T0059,2025-05-18,A5940,3457,Deposit,Sydney,55666,Retail,false
T0060,2024-06-25,A5900,1889,Transfer,New York,48857,Corporate,false
T0061,2025-03-31,A2978,267,Withdrawal,Tokyo,49239,Retail,false
T0062,2024-12-12,A2890,1389,Deposit,Tokyo,24877,SME,false
T0063,2025-02-27,A8012,4774,Transfer,Sydney,22596,Corporate,false
T0064,2024-10-01,A4155,543,Transfer,Sydney,9642,Corporate,false
T0065,2024-10-08,A1252,1381,Withdrawal,New York,33268,Retail,false
T0066,2024-12-20,A1498,2981,Withdrawal,London,13212,Retail,false
T0067,2025-02-26,A4998,1535,Withdrawal,London,65168,SME,false
T0068,2025-05-22,A1436,3467,Deposit,Tokyo,43074,Retail,false
T0069,2025-03-19,A2241,3098,Deposit,London,11226,Retail,false
T0070,2024-10-28,A9166,695,Transfer,London,82331,SME,false
T0071,2025-05-09,A1452,4692,Transfer,Sydney,1948,Retail,false
T0072,2024-06-14,A2239,4652,Deposit,Tokyo,103256,Retail,false
T0073,2025-05-05,A7723,1534,Withdrawal,Tokyo,63406,SME,false
T0074,2024-09-17,A9698,4982,Deposit,New York,104086,Retail,false
T0075,2025-02-27,A5643,798,Withdrawal,Tokyo,19891,SME,false
T0076,2025-03-31,A4563,2992,Deposit,Sydney,60922,SME,false
T0077,2025-01-21,A6423,4606,Deposit,Sydney,54419,Retail,false
T0078,2024-06-24,A3497,4095,Withdrawal,London,80184,Corporate,true
T0079,2024-08-09,A9077,2680,Withdrawal,Sydney,6750,Corporate,false
T0080,2025-03-05,A5362,1348,Transfer,Tokyo,10884,SME,false
T0081,2025-05-17,A9171,1293,Deposit,Tokyo,58570,SME,false
T0082,2025-04-06,A3710,2855,Transfer,Sydney,88616,Retail,false
T0083,2024-06-26,A2020,845,Deposit,Sydney,14513,SME,false
T0084,2024-10-17,A7753,2375,Transfer,New York,18252,Retail,false
T0085,2024-09-12,A6753,3581,Withdrawal,New York,43380,SME,false
T0086,2024-05-28,A8862,568,Transfer,Sydney,38586,Retail,false
T0087,2025-04-17,A6253,2946,Transfer,Tokyo,20983,Corporate,false
T0088,2024-08-02,A8748,3129,Transfer,Sydney,28472,Corporate,false
T0089,2024-12-06,A3910,461,Withdrawal,New York,21867,Corporate,false
T0090,2024-12-20,A7735,3084,Deposit,London,30746,Corporate,false
T0091,2025-02-13,A4257,954,Transfer,Tokyo,97822,Corporate,false
T0092,2025-03-08,A6084,895,Withdrawal,Sydney,4523,Retail,false
T0093,2025-04-06,A5602,1607,Transfer,Tokyo,32329,Corporate,false
T0094,2024-06-09,A8963,295,Transfer,New York,17571,SME,false
T0095,2024-08-09,A2529,3971,Withdrawal,Tokyo,12851,SME,false
T0096,2024-11-08,A6725,3086,Transfer,Tokyo,73735,SME,false
T0097,2024-06-11,A8151,3421,Deposit,Tokyo,89459,SME,false
T0098,2025-03-20,A7480,702,Withdrawal,London,53526,SME,false
T0099,2024-10-31,A5537,2713,Deposit,Sydney,74710,Retail,false
T0100,2025-04-17,A8578,2384,Transfer,Sydney,86519,Retail,false
T0101,2024-12-07,A4075,2034,Deposit,New York,22606,Corporate,false
T0102,2024-09-29,A6355,404,Transfer,London,63737,Retail,false
T0103,2024-06-09,A4189,4625,Transfer,Sydney,35207,Corporate,false
T0104,2024-10-16,A8938,3402,Withdrawal,Sydney,43453,SME,false
T0105,2025-02-28,A8693,3820,Deposit,Tokyo,83048,Retail,false
T0106,2025-02-02,A1513,965,Deposit,New York,99340,Retail,false
T0107,2024-11-25,A6489,4198,Transfer,Sydney,85919,Corporate,false
T0108,2024-07-27,A7317,3934,Transfer,Tokyo,27038,Retail,false
T0109,2024-07-07,A3351,1889,Withdrawal,London,61655,Corporate,false
T0110,2025-04-09,A9544,2663,Deposit,Sydney,54909,Corporate,false
T0111,2024-09-12,A6449,222,Deposit,Sydney,97474,SME,false
T0112,2025-01-18,A7178,2888,Withdrawal,Sydney,75011,Corporate,false
T0113,2025-04-24,A3260,17680,Withdrawal,London,44028,SME,true
T0114,2024-12-29,A8575,4422,Deposit,Sydney,62119,Corporate,false
T0115,2024-08-23,A2657,1603,Deposit,New York,71466,Retail,false
T0116,2025-03-17,A6613,4798,Deposit,Sydney,69705,Retail,false
T0117,2025-03-17,A4531,4071,Deposit,London,92573,Retail,false
T0118,2024-12-02,A7218,1938,Deposit,New York,6899,Retail,false
T0119,2024-08-25,A1553,187,Transfer,New York,27931,Corporate,false
T0120,2025-02-05,A1037,3744,Deposit,Sydney,20567,SME,false
T0121,2024-08-07,A8279,2056,Deposit,Sydney,3721,Corporate,false
T0122,2024-09-16,A7541,3578,Deposit,London,102576,Corporate,false
T0123,2025-04-04,A4550,4051,Withdrawal,Sydney,94662,Corporate,false
T0124,2025-05-13,A1487,133,Withdrawal,London,38126,Corporate,false
T0125,2025-02-12,A4803,1195,Withdrawal,Tokyo,3924,Corporate,false
T0126,2025-02-23,A8942,1059,Transfer,Tokyo,83435,Retail,false
T0127,2024-10-19,A3534,4890,Transfer,Sydney,94337,Corporate,false
T0128,2024-10-15,A1281,2582,Withdrawal,Tokyo,65107,Retail,false
T0129,2024-11-29,A7183,4863,Transfer,Tokyo,62610,Retail,false
T0130,2024-08-11,A3411,3725,Deposit,London,65557,SME,false
T0131,2024-11-19,A3593,3802,Deposit,London,32637,SME,false
T0132,2024-11-19,A8730,1938,Transfer,Tokyo,9176,Corporate,false
T0133,2025-02-20,A7691,2277,Deposit,Sydney,60221,SME,false
T0134,2024-09-09,A4585,3692,Transfer,Tokyo,48822,Retail,false
T0135,2024-08-13,A8996,1584,Withdrawal,London,54477,SME,false
T0136,2025-02-05,A7790,3932,Withdrawal,London,48640,Retail,false
T0137,2024-11-06,A2068,4762,Transfer,London,52616,SME,false
T0138,2024-09-13,A9894,445,Withdrawal,New York,40907,Retail,false
T0139,2024-11-27,A1863,1173,Deposit,Sydney,31758,Retail,false
T0140,2024-11-08,A1381,1341,Withdrawal,London,1948,Corporate,false
T0141,2024-12-25,A5454,39750,Deposit,Sydney,83731,SME,true
T0142,2024-06-21,A1368,3044,Transfer,New York,34264,Corporate,false
T0143,2024-06-01,A5884,4093,Transfer,Sydney,64703,Corporate,false
T0144,2025-02-08,A8303,165,Withdrawal,Tokyo,30652,Corporate,false
T0145,2024-06-10,A6899,4248,Deposit,New York,58409,Retail,false
T0146,2024-08-13,A4004,3231,Withdrawal,Tokyo,93493,SME,false
T0147,2025-04-24,A8365,446,Withdrawal,London,5470,Corporate,false
T0148,2024-10-08,A4018,15,Transfer,London,34008,Corporate,false
T0149,2025-02-17,A1825,4735,Transfer,London,76731,Corporate,false
T0150,2024-12-14,A3643,614,Withdrawal,Tokyo,72606,SME,false
T0151,2025-04-20,A6081,168,Withdrawal,Tokyo,7085,Corporate,false
T0152,2024-10-27,A3195,4847,Deposit,Tokyo,39208,Corporate,false
T0153,2024-11-10,A8316,444,Withdrawal,Tokyo,70711,SME,false
T0154,2024-09-11,A2351,237,Deposit,Sydney,98481,Corporate,false
T0155,2024-08-21,A7997,3499,Deposit,New York,20222,Retail,false
T0156,2025-02-05,A7806,1974,Withdrawal,New York,70642,SME,false
T0157,2025-03-24,A6207,1539,Deposit,Tokyo,5559,Retail,false
T0158,2024-07-13,A8051,4213,Withdrawal,Sydney,9440,SME,false
T0159,2025-02-01,A1806,4973,Deposit,London,10695,Retail,false
T0160,2024-08-15,A6533,622,Withdrawal,New York,65894,Corporate,false
T0161,2025-01-16,A5213,2927,Withdrawal,Sydney,26880,SME,false
T0162,2025-04-11,A2242,522,Transfer,Tokyo,96296,Retail,false
T0163,2024-11-23,A1795,1735,Deposit,Tokyo,84260,Corporate,false
T0164,2025-03-04,A1323,3333,Withdrawal,Tokyo,76523,Corporate,false
T0165,2025-01-02,A9532,3461,Withdrawal,Sydney,23072,Retail,false
T0166,2025-05-17,A3279,3908,Transfer,London,7492,Corporate,false
T0167,2025-01-06,A3232,999,Transfer,London,18317,SME,false
T0168,2024-08-06,A7703,3645,Transfer,Sydney,11200,Retail,false
T0169,2024-11-18,A9782,2461,Deposit,New York,32570,Corporate,false
T0170,2024-12-16,A7808,18474,Withdrawal,Tokyo,-14777,Retail,true
T0171,2024-11-05,A6343,2641,Deposit,Sydney,44563,Retail,false
T0172,2024-09-12,A4080,976,Transfer,London,92258,Retail,false
T0173,2025-01-02,A1355,1627,Withdrawal,New York,50097,Corporate,false
T0174,2024-10-17,A7541,3380,Transfer,Sydney,21725,Corporate,false
T0175,2024-06-14,A6718,1210,Transfer,Sydney,91214,SME,false
T0176,2024-08-31,A8046,4040,Withdrawal,London,26058,Retail,false
T0177,2024-07-20,A6559,1608,Withdrawal,London,35048,Corporate,false
T0178,2024-12-12,A8788,691,Withdrawal,Tokyo,69584,Retail,false
T0179,2024-08-04,A9954,2196,Withdrawal,Sydney,17271,Retail,false
T0180,2025-04-05,A1621,9624,Deposit,Sydney,65037,SME,true
T0181,2024-09-25,A6589,1184,Transfer,London,40680,Retail,false
T0182,2024-07-03,A5407,2379,Transfer,Tokyo,74302,Retail,false
T0183,2024-10-20,A3429,2840,Deposit,Tokyo,87161,Corporate,false
T0184,2024-10-21,A8414,4290,Withdrawal,Tokyo,32113,SME,false
T0185,2025-04-13,A2996,4838,Withdrawal,Tokyo,65572,Corporate,false
T0186,2024-06-02,A1182,1457,Withdrawal,London,63457,Retail,false
T0187,2024-09-15,A1481,3270,Withdrawal,New York,75169,Corporate,false
T0188,2024-10-24,A5490,4956,Deposit,Tokyo,26232,Retail,false
T0189,2024-10-07,A8322,2606,Transfer,London,94838,Retail,false
T0190,2024-07-16,A1037,3829,Transfer,Tokyo,-2105,SME,false
T0191,2024-07-22,A1066,3911,Withdrawal,Tokyo,29975,Corporate,false
T0192,2025-02-18,A3215,829,Deposit,London,90703,SME,false
T0193,2025-04-27,A4999,1348,Deposit,Sydney,81698,SME,false
T0194,2025-03-16,A2429,2610,Withdrawal,New York,45298,Corporate,false
T0195,2024-11-10,A1618,4440,Deposit,New York,99744,Corporate,false
T0196,2024-10-20,A6629,3513,Withdrawal,Sydney,65542,Retail,false
T0197,2024-08-13,A7148,1679,Transfer,London,52334,Retail,false
T0198,2024-10-16,A6168,3495,Withdrawal,London,69446,SME,false
T0199,2025-02-03,A1219,1545,Transfer,London,57022,Corporate,false
T0200,2025-03-18,A5140,1481,Transfer,New York,813,Corporate,false
T0201,2024-08-23,A7325,3342,Withdrawal,New York,26769,SME,false
T0202,2025-02-20,A4416,1143,Withdrawal,London,37001,Corporate,false
T0203,2024-09-25,A3285,4239,Withdrawal,London,85,Retail,false
T0204,2024-05-30,A9255,2070,Withdrawal,Tokyo,20424,Retail,false
T0205,2024-10-25,A4665,14,Deposit,New York,81650,Retail,false
T0206,2024-09-01,A8082,3975,Deposit,New York,47829,Corporate,false
T0207,2024-08-12,A2493,812,Withdrawal,London,38941,Retail,false
T0208,2025-02-02,A4785,3820,Deposit,Tokyo,25774,SME,false
T0209,2025-03-07,A2006,4804,Withdrawal,Sydney,89159,SME,false
T0210,2025-01-12,A1575,3397,Withdrawal,London,48965,SME,false
T0211,2025-02-20,A3254,1397,Withdrawal,Sydney,68999,Retail,false
T0212,2025-02-27,A1584,3539,Deposit,Tokyo,48430,Retail,false
T0213,2024-12-25,A1125,4799,Deposit,Tokyo,37008,Corporate,false
T0214,2024-09-06,A5819,3401,Withdrawal,New York,12836,SME,false
T0215,2024-06-08,A4812,1516,Deposit,Tokyo,58799,SME,false
T0216,2025-03-18,A6563,210,Withdrawal,Tokyo,1473,SME,false
T0217,2024-07-27,A8932,3384,Withdrawal,Sydney,83263,Retail,false
T0218,2024-09-13,A8215,4381,Deposit,London,89337,Retail,false
T0219,2025-03-31,A3253,4393,Withdrawal,Tokyo,89254,SME,false
T0220,2024-09-17,A4983,2248,Withdrawal,New York,46975,SME,false
T0221,2025-03-09,A9532,3640,Withdrawal,Sydney,17516,Retail,false
T0222,2025-01-11,A1078,4177,Deposit,London,6307,Corporate,false
T0223,2025-03-18,A1353,4596,Deposit,Tokyo,64519,Corporate,false
T0224,2024-11-15,A7960,15,Transfer,London,98083,Corporate,false
T0225,2025-04-26,A9841,3377,Deposit,Sydney,37708,SME,false
T0226,2025-04-13,A5101,3531,Withdrawal,Sydney,80996,SME,false
T0227,2025-04-21,A6113,4008,Deposit,London,27138,SME,false
T0228,2024-10-03,A2820,3698,Deposit,New York,31870,Retail,false
T0229,2024-10-18,A9417,246,Transfer,Sydney,95405,Corporate,false
T0230,2025-05-10,A4149,4409,Deposit,Sydney,12057,SME,false
T0231,2024-11-07,A1032,4375,Transfer,New York,8520,SME,false
T0232,2024-10-30,A1337,1686,Deposit,London,41191,SME,false
T0233,2025-04-25,A1638,840,Deposit,London,58461,Corporate,false
T0234,2024-07-01,A4914,2277,Deposit,London,80343,Corporate,false
T0235,2025-05-04,A9778,2540,Transfer,Tokyo,80333,Corporate,false
T0236,2025-03-30,A2006,4662,Transfer,Tokyo,25550,Corporate,false
T0237,2024-12-23,A2035,3772,Withdrawal,New York,24823,Retail,false
T0238,2024-06-24,A9461,2239,Withdrawal,London,57493,Corporate,false
T0239,2024-08-10,A9797,671,Deposit,New York,29267,Retail,false
T0240,2024-07-16,A1749,4620,Transfer,Tokyo,55365,SME,false
T0241,2024-12-28,A4242,2582,Transfer,London,72954,Corporate,false
T0242,2025-01-21,A1805,4082,Withdrawal,Tokyo,81801,SME,false
T0243,2025-01-28,A9868,2416,Transfer,London,55159,Retail,false
T0244,2024-11-18,A9425,2195,Transfer,New York,73905,Retail,false
T0245,2025-01-16,A7466,341,Transfer,London,38933,Retail,false
T0246,2024-08-27,A7462,4980,Transfer,Tokyo,84647,Corporate,false
T0247,2025-03-05,A7140,2870,Deposit,New York,27192,Retail,false
T0248,2024-12-31,A8209,3617,Deposit,London,43709,Retail,false
T0249,2024-07-27,A3414,3470,Withdrawal,Sydney,37857,SME,false
T0250,2024-06-02,A1345,955,Deposit,Sydney,85021,SME,false
T0251,2024-11-01,A4363,3946,Withdrawal,London,18968,Corporate,false
T0252,2024-08-16,A4996,698,Deposit,New York,37048,Corporate,false
T0253,2024-12-24,A4915,1821,Withdrawal,Tokyo,43748,Corporate,false
T0254,2025-05-15,A2937,3945,Withdrawal,Tokyo,46076,Retail,false
T0255,2024-07-03,A3013,835,Withdrawal,London,33878,Retail,false
T0256,2024-07-25,A7279,4200,Deposit,London,51353,Corporate,false
T0257,2024-06-07,A1430,3092,Transfer,Sydney,2168,Retail,false
T0258,2024-11-16,A7750,1559,Withdrawal,Tokyo,11095,Retail,false
T0259,2024-09-19,A5636,3876,Withdrawal,New York,9137,Retail,false
T0260,2024-06-14,A7888,2304,Withdrawal,Tokyo,37817,Retail,false
T0261,2024-11-04,A3947,3190,Withdrawal,Tokyo,28512,Retail,false
T0262,2024-10-06,A4521,2321,Transfer,London,33942,SME,false
T0263,2024-07-03,A6311,312,Withdrawal,Sydney,20195,SME,false
T0264,2024-07-25,A7126,594,Withdrawal,New York,31088,Corporate,false
T0265,2025-01-04,A9231,3232,Deposit,Sydney,82003,SME,false
T0266,2025-03-27,A6207,2947,Deposit,New York,74051,Corporate,false
T0267,2024-12-19,A6055,3957,Withdrawal,Sydney,18552,Retail,false
T0268,2024-09-17,A8988,3197,Transfer,New York,11525,SME,false
T0269,2024-08-24,A1657,1014,Transfer,Tokyo,355,Corporate,false
T0270,2024-07-01,A4483,218,Transfer,New York,18761,SME,false
T0271,2025-01-11,A8366,1416,Deposit,New York,93892,Retail,false
T0272,2024-08-13,A7294,4902,Transfer,London,51919,Corporate,false
T0273,2025-01-05,A3201,2211,Withdrawal,Tokyo,81393,Corporate,false
T0274,2025-03-30,A1568,4944,Transfer,London,51001,SME,false
T0275,2024-11-01,A2736,3257,Transfer,Tokyo,89682,SME,false
T0276,2024-11-15,A8645,3107,Deposit,London,11334,SME,false
T0277,2024-07-10,A1972,2325,Transfer,Tokyo,73584,Retail,false
T0278,2025-02-18,A3516,3343,Withdrawal,Sydney,45643,Corporate,false
T0279,2025-02-22,A4445,4627,Deposit,London,21396,SME,false
T0280,2024-12-26,A6888,3380,Deposit,Tokyo,29081,Retail,false
T0281,2024-09-23,A6394,4012,Withdrawal,Sydney,35812,Retail,false
T0282,2025-05-08,A4721,311,Deposit,London,29786,Retail,false
T0283,2025-01-01,A8424,4485,Transfer,Sydney,10854,Corporate,false
T0284,2024-06-10,A5551,2535,Withdrawal,Tokyo,45234,SME,false
T0285,2025-01-26,A1905,4054,Withdrawal,Tokyo,61361,SME,false
T0286,2025-02-27,A4906,692,Transfer,Sydney,23725,SME,false
T0287,2024-06-05,A6507,683,Withdrawal,Tokyo,67135,Retail,false
T0288,2025-04-28,A1924,1487,Transfer,Tokyo,55879,Retail,false
T0289,2024-09-19,A1696,3618,Transfer,Sydney,76737,SME,true
T0290,2025-03-29,A2917,4660,Deposit,Tokyo,38367,SME,false
T0291,2025-02-08,A2469,3961,Deposit,Tokyo,31910,SME,false
T0292,2025-05-12,A1896,2052,Deposit,London,60981,SME,false
T0293,2024-06-20,A1021,3094,Withdrawal,Tokyo,80645,Retail,false
T0294,2024-09-03,A8262,2411,Withdrawal,Tokyo,66674,Retail,false
T0295,2024-07-09,A1235,3380,Withdrawal,New York,65681,SME,false
T0296,2025-01-24,A1999,1064,Withdrawal,Sydney,82728,Retail,false
T0297,2024-09-05,A4236,3595,Deposit,London,66665,SME,false
T0298,2024-11-25,A3936,98,Deposit,London,52062,SME,false
T0299,2024-09-10,A7789,1794,Deposit,New York,23664,Retail,false
T0300,2025-03-18,A2216,3890,Withdrawal,Tokyo,159,Retail,false
T0301,2025-02-14,A8148,4514,Withdrawal,New York,9215,Corporate,false
T0302,2025-05-10,A6072,2311,Withdrawal,New York,86004,Corporate,false
T0303,2024-11-27,A2286,846,Deposit,Tokyo,72612,Retail,false
T0304,2024-08-30,A1276,4148,Transfer,Tokyo,93918,Retail,false
T0305,2025-02-13,A7944,2811,Deposit,Tokyo,5658,Corporate,false
T0306,2025-05-18,A1461,986,Deposit,New York,34630,Corporate,false
T0307,2025-02-14,A8637,1929,Withdrawal,Tokyo,34241,Retail,false
T0308,2024-11-18,A1174,1902,Deposit,Tokyo,22618,SME,false
T0309,2024-08-14,A4935,1179,Transfer,Sydney,90494,Retail,false
T0310,2025-03-22,A4746,492,Deposit,London,26495,Corporate,false
T0311,2024-08-16,A2984,745,Withdrawal,London,66449,Corporate,false
T0312,2025-02-16,A4689,3163,Deposit,Tokyo,69032,Corporate,false
T0313,2025-04-29,A7092,70,Deposit,Tokyo,53829,Corporate,false
T0314,2024-11-01,A7468,4770,Transfer,London,58965,Corporate,false
T0315,2025-05-19,A4306,3018,Withdrawal,Sydney,73,SME,false
T0316,2025-05-18,A5409,2009,Transfer,Tokyo,28632,Corporate,false
T0317,2025-04-19,A6463,4087,Transfer,Sydney,66911,SME,false
T0318,2025-03-11,A6749,1709,Transfer,London,47763,SME,false
T0319,2024-07-12,A2513,71,Withdrawal,London,4545,SME,false
T0320,2024-10-21,A1101,4011,Transfer,Tokyo,15917,Retail,false
T0321,2024-09-26,A4363,3528,Transfer,London,44075,SME,false
T0322,2025-01-29,A4886,4451,Transfer,Sydney,5123,SME,false
T0323,2025-05-14,A1495,235,Deposit,London,66029,Retail,false
T0324,2024-11-10,A5447,4718,Withdrawal,Tokyo,30543,SME,false
T0325,2024-09-12,A2074,3791,Withdrawal,New York,94543,Corporate,false
T0326,2025-04-28,A6010,4663,Transfer,New York,27152,Corporate,false
T0327,2024-10-24,A6755,4349,Deposit,London,34328,Corporate,false
T0328,2024-11-11,A6759,4300,Transfer,London,8947,Retail,false
T0329,2024-08-01,A4568,4430,Deposit,Tokyo,42280,SME,false
T0330,2025-03-21,A5695,3000,Withdrawal,New York,57376,Retail,false
T0331,2025-04-08,A7247,4614,Deposit,London,102579,Corporate,false
T0332,2024-12-31,A7561,4846,Withdrawal,Tokyo,21354,Corporate,false
T0333,2025-04-20,A1931,1258,Deposit,London,41621,SME,false
T0334,2025-04-17,A3580,480,Transfer,Tokyo,63564,Corporate,false
T0335,2024-10-20,A5250,3143,Transfer,New York,27216,Retail,false
T0336,2024-06-17,A7025,1758,Withdrawal,New York,19086,Retail,false
T0337,2024-09-10,A6446,3435,Deposit,Tokyo,99105,Corporate,false
T0338,2025-01-10,A5649,697,Transfer,Tokyo,44273,SME,false
T0339,2025-02-15,A7568,2201,Withdrawal,Tokyo,14400,SME,false
T0340,2024-10-20,A6577,3612,Deposit,Sydney,53952,Corporate,false
T0341,2024-12-17,A8065,3786,Transfer,London,17410,SME,false
T0342,2024-07-26,A8507,2574,Transfer,Sydney,18094,SME,false
T0343,2024-10-01,A4181,4610,Transfer,New York,46862,SME,false
T0344,2025-02-06,A9921,3463,Transfer,New York,71915,Retail,false
T0345,2024-12-17,A3396,4525,Transfer,Tokyo,5797,Corporate,false
T0346,2024-07-18,A1619,547,Withdrawal,London,43970,Corporate,false
T0347,2024-12-02,A1303,4446,Deposit,London,5491,SME,false
T0348,2025-01-09,A1951,1781,Deposit,Sydney,3039,Corporate,false
T0349,2024-06-10,A2828,3275,Transfer,London,59297,Retail,false
T0350,2024-12-11,A7098,4954,Deposit,New York,6008,Corporate,false
T0351,2025-04-14,A7936,602,Withdrawal,Sydney,81746,Corporate,false
T0352,2024-08-30,A4629,2661,Transfer,New York,1289,Retail,false
T0353,2025-03-01,A2589,1997,Deposit,Tokyo,71697,Retail,false
T0354,2025-03-01,A1318,3627,Withdrawal,New York,25479,SME,false
T0355,2025-03-24,A2563,4826,Withdrawal,Tokyo,37643,SME,false
T0356,2024-09-11,A3226,27,Transfer,Tokyo,45417,Corporate,false
T0357,2025-05-15,A5884,3528,Deposit,London,49310,SME,false
T0358,2025-01-09,A4879,3870,Transfer,Tokyo,90511,Retail,false
T0359,2025-03-11,A3993,3300,Transfer,Tokyo,94551,Corporate,false
T0360,2024-06-24,A3798,3198,Deposit,Tokyo,19555,SME,false
T0361,2025-03-19,A9781,2209,Withdrawal,Tokyo,1392,Retail,false
T0362,2024-06-12,A5154,1330,Deposit,London,81431,Retail,false
T0363,2025-04-12,A3134,991,Withdrawal,Tokyo,26525,SME,false
T0364,2024-07-11,A3268,2654,Deposit,New York,92702,Corporate,false
T0365,2025-03-28,A6539,1685,Withdrawal,Tokyo,2135,SME,false
T0366,2024-11-09,A2400,3818,Withdrawal,Sydney,54681,SME,false
T0367,2024-12-02,A2712,461,Deposit,London,98478,Retail,false
T0368,2025-04-01,A2688,1014,Withdrawal,London,63243,Retail,false
T0369,2024-11-07,A4411,673,Transfer,Tokyo,33275,SME,false
T0370,2024-12-01,A8713,4970,Withdrawal,Tokyo,80084,Corporate,false
T0371,2024-12-25,A6530,1813,Transfer,New York,70251,Retail,false
T0372,2024-06-01,A3486,537,Deposit,Tokyo,68592,Corporate,false
T0373,2025-05-06,A8886,2473,Deposit,Sydney,8937,Retail,false
T0374,2024-11-11,A3255,653,Withdrawal,London,80663,Retail,false
T0375,2025-01-13,A4236,1026,Withdrawal,Sydney,17609,Corporate,false
T0376,2024-12-02,A2745,517,Withdrawal,London,12213,Retail,false
T0377,2024-07-21,A8850,309,Withdrawal,Sydney,78684,Retail,false
T0378,2024-09-15,A9005,40,Transfer,London,97920,Corporate,false
